sku,name,vendor,category,status,description,material,color,price,currency,lead_time,country_of_origin,image_url_1,image_url_2,image_url_3,source_url,created_at,updated_at
11045881,Mato,ZR,fabric,APPROVED,"MATO reveals its charm through subtle nuances. On a delicately shimmering ground, horizontal lines appear like a fine mesh laid across the surface, gently accentuating the play of color. The base gains its vitality from the slight sheen of the floating warp yarns, which create a lively wave-like texture on the surface. Every movement, every shift of light unveils new facets of this finely woven jacquard, enhancing the impact of its fourteen elegant colorways. Here, minimalism becomes a sensory experience — a fabric for connoisseurs who appreciate refined details and sophisticated materiality.","57% Viscose, 20% Polyester, 13% Cotton, 10% Flax (linen)",,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/9/1/csm_11045881_9a6ada35c0.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/d/0/csm_11045881_2_fea140acfd.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/2/a/csm_11045881_3_af971fd368.jpg,https://www.zimmer-rohde.com/en/product-finder/details/mato-11045-881,2026-02-20T15:08:18.404205,2026-02-22T14:25:09.171188
11046344,Iriza,ZR,fabric,APPROVED,"Iriza is a floor-to-ceiling taffeta fabric that impresses with its firm structure and shimmering luster. Its densely woven quality gives the textile its distinctive taffeta body, allowing for a dramatic drape that unfolds its full effect, especially in generous curtains. The extensive palette of 30 sophisticated colorways captivates with refined, iridescent nuances created through the interplay of warp and weft threads. IRIZA unites understated elegance with sculptural presence.",100% Polyester,,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/f/f/csm_11046344_504d61ed6f.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/f/f/csm_11046344_2_63c2705878.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/6/5/csm_11046344_3_414042db14.jpg,https://www.zimmer-rohde.com/en/product-finder/details/iriza-11046-344,2026-02-20T15:08:23.683705,2026-02-22T14:24:07.706831
11047991,Ishari,ZR,fabric,APPROVED,"This floor-to-ceiling drapery fabric celebrates the quiet beauty of restraint. Two ultra-fine woven layers encase loosely bound effect yarns whose subtle bouclé character lends the surface a gentle vitality. The result is a textile balance between openness and structure, transparency and volume. The color palette features exclusively neutral natural tones that integrate effortlessly into a wide range of interior concepts. With its easy-care properties and understated appearance, ISHARI becomes a timeless companion for contemporary interiors.",100% Polyester,Neutral natural tones,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/7/5/csm_11047991_6a67f4940c.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/0/7/csm_11047991_2_ad86ede458.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/7/e/csm_11047991_3_75f706f9d3.jpg,https://www.zimmer-rohde.com/en/product-finder/details/ishari-11047-991,2026-02-20T15:08:30.159735,2026-02-22T14:23:13.680387
11048891,Chaconia,ZR,fabric,APPROVED,"The generously scaled Scherli design unfurls in gentle movement across the transparent ground — a weave of leaves, branches, and grape-like blossoms that reveal their full allure in backlight. The refined balance between dense and translucent areas creates a delicate interplay of light and shadow, lending the room a poetic atmosphere. Subtly metallic accents within the blossoms add shimmering highlights and give the design a modern, luxurious touch. A decorative fabric that artfully blurs the line between indoors and outdoors, between natural beauty and refined elegance.","41% Flax (linen), 29% Cotton, 19% Polyester, 5% Viscose, 4% Acrylic, 2% Polyamide",891,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/2/3/csm_11048891_97b649fb32.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/7/d/csm_11048891_2_f5bcdf7f93.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/5/5/csm_11048891_3_f3b9919b74.jpg,https://www.zimmer-rohde.com/en/product-finder/details/chaconia-11048-891,2026-02-20T15:08:35.219826,2026-02-22T14:22:52.242266
11049991,Nuri,ZR,fabric,APPROVED,"Nuri is a subtle fabric that fills interiors with an authentic sense of character. This floor-to-ceiling check weave plays with the contrast between transparency and density, creating a textile graphic of great calm and precision. Yarns of varying thickness and differing weave densities form a fine grid reminiscent of the crosshatching in a drawing — lively, natural, and uncontrived. The gentle irregularity of the effect yarns gives the fabric its distinctive signature: an engaging interplay of line and surface, craftsmanship and lightness.","57% Flax (linen), 43% Cotton",,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/e/5/csm_11049991_981a7fd787.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/7/d/csm_11049991_2_7b68c3e710.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/3/d/csm_11049991_3_ce04bd6470.jpg,https://www.zimmer-rohde.com/en/product-finder/details/nuri-11049-991,2026-02-20T15:08:40.823694,2026-02-22T14:22:12.358304
11050884,Silvan,ZR,fabric,APPROVED,"This embroidered sheer fabric captures the charm of effortless ease. Organic lines flow across the airy ground, stitched tone-on-tone in a rhythmic zigzag pattern — sometimes dense, sometimes freely meandering. The result is a lively allover design reminiscent of handcrafted embroidery, giving the textile a charming artisanal touch. A modern classic infused with a sense of lightness and the feeling of a summer breeze within the room.","Embroidery: 60% Polyester, 25% Cotton, 15% Flax (linen); Ground: 53% Flax (linen), 28% Cotton, 19% Polyester",,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/6/1/csm_11050884_ae185ff5ea.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/c/0/csm_11050884_2_0f36f3f4f4.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/7/8/csm_11050884_3_8c06012fb9.jpg,https://www.zimmer-rohde.com/en/product-finder/details/silvan-11050-884,2026-02-20T15:08:46.732940,2026-02-21T07:41:37.349312
11051812,Niket,ZR,fabric,APPROVED,"A fabric that captivates through its effortless naturalness. The semi-transparent grid weave, crafted in a classic leno technique, reveals an open structure and a pleasantly fluid drape. A special, gentle finish gives the textile its characteristic volume and natural irregularity — almost as if it were handmade. The look is deliberately understated, exuding a calm, relaxed elegance that lends any room a subtle warmth. Made from high-quality polyester yarns, NIKET combines authentic natural appeal with easy care and modern everyday practicality.",100% Polyester,,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/3/0/csm_11051812_8afb25c821.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/2/3/csm_11051812_2_e516353648.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/b/9/csm_11051812_3_40163804e2.jpg,https://www.zimmer-rohde.com/en/product-finder/details/niket-11051-812,2026-02-20T15:08:54.535595,2026-02-21T07:40:43.960628
21291194,Hidcote Indienne,ZR,fabric,APPROVED,"‘Hidcote Indienne’ is inspired by the gardens of Hidcote Manor, a 10.5-acre stretch of formal gardens designed by American horticulturalist Lawrence Johnston in the early 20th century. The planting style at Hidcote is diverse, inspired by Johnston’s travels across Africa Asia and his love of the Arts and Crafts movement. The design includes the likeness of the pink ‘Lawrence Johnston’ placed throughout the design.","51% Cotton, 49% Flax (linen)",,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/f/a/csm_21291194_f1db4d17ef.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/f/5/csm_21291194_2_bedd8ebbb9.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/e/c/csm_21291194_3_73aff40e43.jpg,https://www.zimmer-rohde.com/en/product-finder/details/hidcote-indienne-21291-194,2026-02-21T07:43:48.512306,2026-02-22T14:21:58.747456
19602880,Pampelonne,ZR,fabric,APPROVED,"Pampelonne is a double width, open-weave voile fabric made from 100% linen. The yarn supplier, based in Belgium, are certified Masters of Linen as well as being European-Flax and Oeko-Tex-certified. The long linen fibers guarantee robust quality. The fabric is woven in a traditional textile mill in France, 20 minutes away from our design studio. The fabric is piece-dyed and then stabilized with a gentle stone-wash finish, ensuring softness and a distinctive touch.",100% Flax (linen),,,,,France,https://www.zimmer-rohde.com/fileadmin/_processed_/2/8/csm_19602880_d0fbe32d60.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/c/3/csm_19602880_2_5dfb5964ec.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/4/8/csm_19602880_3_3b68e29683.jpg,https://www.zimmer-rohde.com/en/product-finder/details/pampelonne-19602-880,2026-02-21T07:43:53.109973,2026-02-22T14:21:45.581064
19626812,Beloha,ZR,fabric,APPROVED,"Beloha is a wide-width, striped fabric made of Oeko-Tex and GOTS-certified linen and cotton. The beauty of linen paired with the softness of cotton imbues Beloha with charm and naturalness. The finish is as soft as absorbent cotton.","54% Flax (linen), 46% Cotton",,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/7/c/csm_19626812_6190e16f1e.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/f/0/csm_19626812_2_47f17fa263.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/5/e/csm_19626812_3_c273c941ee.jpg,https://www.zimmer-rohde.com/en/product-finder/details/beloha-19626-812,2026-02-21T07:43:58.590427,2026-02-22T14:21:32.717990
19625880,Nazca,ZR,fabric,APPROVED,"Nazca is a wide-width fabric boasting Cornely embroidery. It’s a yarn-dyed cloth made of pure linen, certified according to GOTS standards. A stone-wash finish provides the material with a beautiful texture and structure.","100% Flax (linen), Embroidery: 90% Acrylic, 10% Polyamide",887,,,,,https://www.zimmer-rohde.com/fileadmin/_processed_/1/7/csm_19625880_a8a43c3a24.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/6/3/csm_19625880_2_47def7a854.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/1/c/csm_19625880_3_aa2ffbb892.jpg,https://www.zimmer-rohde.com/en/product-finder/details/nazca-19625-880,2026-02-21T07:44:03.462925,2026-02-22T14:21:18.626576
19624235,Nagpur,ZR,fabric,APPROVED,"Nagpur is a homage to Berber carpets. The traditional craftsman's weaving mill, based in Belgium, is a certified Master of Linen as well as being European-Flax and Oeko-Tex-certified. The luxury weft yarn is spun in the tradition of haute-couture tweed. The exclusive color spectrum and nuances create a product with the soft blend of half-tones. The 'washed and tumbled' finish provides a natural handle and softness with a woolen texture. This fabric achieves an 80,000 Martindale.","37% Flax (linen), 36% Viscose, 24% Acrylic, 2% Polyester, 1% Polyamide",,,,,Belgium,https://www.zimmer-rohde.com/fileadmin/_processed_/d/a/csm_19624235_b65c56ca45.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/d/f/csm_19624235_2_dcbdaa5cd7.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/8/9/csm_19624235_3_3c0eb6a4e1.jpg,https://www.zimmer-rohde.com/en/product-finder/details/nagpur-19624-235,2026-02-21T07:44:07.653732,2026-02-22T14:21:04.389456
19623875,Asni,ZR,fabric,APPROVED,"Asni’s inspiration comes from striped Berber carpets. Here, the stripe is woven through the weft as a broad block of color. The traditional craftsman's weaving mill, based in Belgium, is a certified Master of Linen as well as being European-Flax and Oeko-Tex-certified. The high quality linen used in this fabric, is a testament to the traditional hand loom heritage from South of France. The ""washed and tumbled"" finish provides softness and a natural handle for modern interiors and large windows that open out onto nature.","65% Flax (linen), 32% Acrylic, 3% Polyester",,,,,Belgium,https://www.zimmer-rohde.com/fileadmin/_processed_/0/8/csm_19623875_f373097659.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/b/9/csm_19623875_2_a953298cc6.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/e/c/csm_19623875_3_d7e38b512a.jpg,https://www.zimmer-rohde.com/en/product-finder/details/asni-19623-875,2026-02-21T07:44:12.837449,2026-02-22T14:20:41.003273
19622880,Noga,ZR,fabric,APPROVED,"Noga plays with transparencies and is inspired by traditional basket weaving. The fabric is made from high-quality linen, a testament to the traditional hand loom heritage from South of France. It features a 'washed and tumbled' finish for softness and a natural handle, suitable for modern interiors and large windows. The weaving mill is based in Belgium and is a certified Master of Linen, European-Flax, and Oeko-Tex-certified.","73% Flax (linen), 25% Acrylic, 2% Polyester",,,,,Belgium,https://www.zimmer-rohde.com/fileadmin/_processed_/2/c/csm_19622880_dcf3e4e559.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/5/3/csm_19622880_2_265ce59402.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/f/4/csm_19622880_3_e3bd3c321a.jpg,https://www.zimmer-rohde.com/en/product-finder/details/noga-19622-880,2026-02-21T07:44:17.397934,2026-02-22T14:20:26.675941
19621883,Andria,ZR,fabric,APPROVED,"Andria is a broad-striped woven fabric from Italy made from cotton and linen. This beautiful fabric combines a variety of selected yarns with the 'Maltinto' artisanal dyeing process, giving the pretty stripe a vintage patina.","68% Cotton, 26% Flax (linen), 5% Viscose, 1% Polyester","887, 883, 880",,,,Italy,https://www.zimmer-rohde.com/fileadmin/_processed_/d/f/csm_19621883_257e5e3988.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/3/9/csm_19621883_2_006aeef3e3.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/5/7/csm_19621883_3_4ca09f3bcd.jpg,https://www.zimmer-rohde.com/en/product-finder/details/andria-19621-883,2026-02-21T07:44:21.433115,2026-02-22T14:20:10.277483
19620880,Licata,ZR,fabric,APPROVED,"Licata is as filigree as linen lace. So much expertise and passion comes from the Italian craftsmanship, ensuring this sophisticated fabric is created. Licata is woven on treasured Dornier jacquard weaving looms. The warp threads are from 100% European-Flax-certified linen. All the steps in the process, from spinning the yarn to weaving right down to the finishing, are carried out in Italy. Kuralon – a special resin – enables the craftspeople to weave threads that would otherwise be too fine to weave. The resin dissolves during finishing so that only the ultra-fine linen threads remain. An artistic 'basket tumbler' finish gives the soft linen voile a delicate drape and cashmere-like feel.","97% Flax (linen), 3% Polyester",990,,,,Italy,https://www.zimmer-rohde.com/fileadmin/_processed_/9/c/csm_19620880_268e6031ca.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/c/6/csm_19620880_2_2ea7184205.jpg,https://www.zimmer-rohde.com/fileadmin/_processed_/b/9/csm_19620880_3_3dd3cd8614.jpg,https://www.zimmer-rohde.com/en/product-finder/details/licata-19620-880,2026-02-21T07:44:26.045779,2026-02-22T14:19:54.330316
TWL174,Teatro Wall Light,Porta Romana,lighting,APPROVED,"The Teatro wall light captures the elegance and drama of Roman palazzos and theatres, designed in collaboration with the artist Gergei Erdei. Inspired by the folds of heavy curtains, its hand-sculpted design creates a striking three-dimensional form, gently curving away from the surface of the wall to create an impactful silhouette. Each piece is individually handcrafted from a prototype originally draped from fabric, preserving the artistry of its creation. Subtle imperfections in the surface texture reflect the hand of the maker. Suited to both classic and contemporary interiors. Available in Anziano White or Gilted Verdigris — new finishes developed with Erdei to emphasise the unique draped form.",Cast Composite,Anziano White or Gilted Verdigris,3430.0,GBP,6 weeks,,http://portaromana.com/cdn/shop/files/TWL174-ANW-HERO-SHADE1-FN_EDIT_1200x1200.jpg?v=1763119151,http://portaromana.com/cdn/shop/files/TWL174-ANW-LIGHTS-SHADE1-FN_Edit_1200x1200.jpg?v=1763119151,http://portaromana.com/cdn/shop/files/TWL174-ANW-PIC2_1200x1200.jpg?v=1763119151,https://portaromana.com/products/teatro_wall_light,2026-02-21T11:00:14.473643,2026-02-22T14:19:40.323435
VLB93,Etrusco Lamp,Porta Romana,lighting,APPROVED,"Designed in collaboration with artist Gergei Erdei, the Etrusco lamp pays homage to ancient Roman amphoras while referencing the symmetry of Art Deco design. The sculpted base features distinctive details, elevated on a sleek hand-forged and textured pedestal for added presence. Handcrafted and balanced in proportion, the Etrusco serves as both functional lighting and artistic centrepiece, offering a refined fusion of past and present. Available in Anziano White and Distressed Gold or New Bronze and Distressed Gold.",Cast Composite,New Bronze and Distressed Gold,5091.0,GBP,8 weeks,,http://portaromana.com/cdn/shop/files/VLB93-NBZ-HERO-SHADE1_1200x1200.jpg?v=1762356603,http://portaromana.com/cdn/shop/files/VLB93-NBZ-LIGHTS-SHADE1_1200x1200.jpg?v=1762356603,http://portaromana.com/cdn/shop/files/VLB93-NBZ-HOVER1_1200x1200.jpg?v=1762356603,https://portaromana.com/products/etrusco_lamp,2026-02-21T11:00:19.078834,2026-02-22T14:19:23.914275
TWL52S,Scallop Wall Light Small,Porta Romana,lighting,APPROVED,"Since its launch in 2013 the Scallop Shell wall light has transformed bathrooms, kitchens and many other spaces due to its scale and proportion, the versatility of its finishes and the soft light it emits. To extend its influence, we have now created a smaller, more jewel-like scale. Cast in-house and finished by hand in our studio. Available in any painted finish of your choice.",Cast composite with decorative finish,Burnt Stone,1395.0,GBP,6 weeks,,,,,https://portaromana.com/products/sculpted-scallop-wall-light-small,2026-02-21T11:00:22.925526,2026-02-22T14:19:03.236025
VLB72S,Mini Bianca Lamp,Porta Romana,lighting,APPROVED,"The Mini Bianca is a compact and striking table lamp with a softly faceted, mineral-inspired silhouette. Dual-tone, metal-like finishes are expertly layered by hand in our painting studio to create a tactile patina.",Cast Composite,Dark King Copper and King Copper,1563.0,GBP,6 weeks,,http://portaromana.com/cdn/shop/files/VLB72S-DKC-KIC-HERO_1200x1200.jpg?v=1753353547,http://portaromana.com/cdn/shop/files/VLB72S-DKC-KIC-LIGHTS_1200x1200.jpg?v=1753353547,http://portaromana.com/cdn/shop/files/VLB72S-DKC-KIC-HOVER_1200x1200.jpg?v=1753353547,https://portaromana.com/products/mini_bianca_lamp,2026-02-21T11:00:27.451720,2026-02-22T14:18:54.557350
VLB91,Dorian Lamp,Porta Romana,lighting,APPROVED,The Dorian table lamp balances a grounded presence with an asymmetrical profile that echoes 1940s sculpture. Sharing its design language with the Lucian lamp to create a juxtaposing pair. Cast in composite and hand‑finished in our painting studio.,Cast Composite,Burnt Stone,1652.0,GBP,6 weeks,,http://portaromana.com/cdn/shop/files/VLB91-BRS-HERO_1200x1200.jpg?v=1753178557,http://portaromana.com/cdn/shop/files/VLB91-BRS-LIGHTS_1200x1200.jpg?v=1753178558,http://portaromana.com/cdn/shop/files/VLB91-BRS-HOVER_1200x1200.jpg?v=1753178558,https://portaromana.com/products/dorian_lamp,2026-02-21T11:00:31.857743,2026-02-22T14:18:39.600164
MCL112,Twisted Compton Ceiling Light,Porta Romana,lighting,APPROVED,"The Twisted Compton ceiling light adds sinuous rhythm to the original’s sculptural simplicity. Locally forged then hand-finished in our painting studio, it brings movement and texture to contemporary interiors.",Metal,Plaster White,6060.0,GBP,7 week lead time,,http://portaromana.com/cdn/shop/files/MCL112-PLW-HERO_1200x1200.jpg?v=1753178535,http://portaromana.com/cdn/shop/files/MCL112-PLW-LIGHTS_1200x1200.jpg?v=1753178530,http://portaromana.com/cdn/shop/files/MCL112-PLW-HOVER_1200x1200.jpg?v=1753178528,https://portaromana.com/products/twisted_compton_ceiling_light,2026-02-21T11:00:35.230958,2026-02-22T14:18:18.149768
VLB89,Origami Lamp,Porta Romana,lighting,APPROVED,"The Origami table lamp takes inspiration from folded paper forms. Sculpted in-house and cast in composite, its angular planes are enhanced with a hand-painted finish of your choice.",Cast Composite,Verdigris,1467.0,GBP,6 weeks,,http://portaromana.com/cdn/shop/files/VLB89-VER-HERO_1200x1200.jpg?v=1771533884,http://portaromana.com/cdn/shop/files/VLB89-VER-LIGHTS_1200x1200.jpg?v=1771533884,http://portaromana.com/cdn/shop/files/VLB89-VER-HOVER_1200x1200.jpg?v=1771533884,https://portaromana.com/products/origami_lamp,2026-02-21T11:00:40.060651,2026-02-22T14:18:02.810095
SLB78,Dali Lamp,Porta Romana,lighting,APPROVED,"The Dali table lamp pays homage to the Parisian avant‑garde. Hand‑forged in mild steel by a skilled local metalsmith, its subtly dimpled surface is finished by hand in our painting studio to create a rich, well‑worn patina.",Metal,Bronzed,1754.0,GBP,6 weeks,,http://portaromana.com/cdn/shop/files/SLB78-BZD-HERO_1200x1200.jpg?v=1753178547,http://portaromana.com/cdn/shop/files/SLB78-BZD-LIGHTS_1200x1200.jpg?v=1753178546,http://portaromana.com/cdn/shop/files/SLB78-BZD-HOVER_1200x1200.jpg?v=1753178534,https://portaromana.com/products/dali_lamp,2026-02-21T11:00:43.844488,2026-02-22T14:17:46.871659
TWL170,Lila Wall Light,Porta Romana,lighting,APPROVED,"The Lila wall light brings the serene beauty of aquatic flora to vertical planes. Hand-sculpted lily pads curve from the wall, catching light in their folds like petals at dusk. Hand-painted finishes introduce gentle texture. Also available as a ceiling light.",Metal,Anne's Garden,3972.0,GBP,6 weeks,,http://portaromana.com/cdn/shop/files/TWL170-HERO_1200x1200.jpg?v=1771534019,http://portaromana.com/cdn/shop/files/TWL170-LIGHTS_1200x1200.jpg?v=1771534019,http://portaromana.com/cdn/shop/files/TWL170-PIC1_1200x1200.jpg?v=1771534019,https://portaromana.com/products/lila_wall_light,2026-02-21T11:00:49.385315,2026-02-22T14:17:33.860490
VLB90,Lucian Lamp,Porta Romana,lighting,APPROVED,"The Lucian table lamp features a twisting, root‑like base drawn from organic forms and Mexican architecture. Sharing its design language with the Dorian lamp to create a juxtaposing pair. Sculpted in‑house, cast in composite and hand‑finished in our painting studio.",Cast Composite,Bronzé,1928.0,GBP,6 weeks,,http://portaromana.com/cdn/shop/files/VLB90-BEE-HERO_1200x1200.jpg?v=1771533982,http://portaromana.com/cdn/shop/files/VLB90-BEE-LIGHTS_1200x1200.jpg?v=1771533982,http://portaromana.com/cdn/shop/files/VLB90-BEE-HOVER_1200x1200.jpg?v=1771533982,https://portaromana.com/products/lucian_lamp,2026-02-21T11:00:54.382627,2026-02-22T14:17:18.387631
TWL171,Julius Wall Light,Porta Romana,lighting,APPROVED,"The Julius wall light is sculpted and cast in-house, then hand-decorated to emphasise its dimpled texture. Finished with a hand-painted gold interior to create a soft and luminous reflection.",Cast Composite,Sprottle & Gold,984.0,GBP,6 weeks,,http://portaromana.com/cdn/shop/files/TWL171-SPR-GLD-HERO_0cbfa67e-80a9-4beb-a9d0-ac9cba0b1d28_1200x1200.jpg?v=1757590457,http://portaromana.com/cdn/shop/files/TWL171-SPR-GLD-LIGHTS_a9b726bb-08e9-4c07-b3c3-3542b91c5a32_1200x1200.jpg?v=1757590457,http://portaromana.com/cdn/shop/files/TWL171-SPR-GLD-HOVER_87e290f5-c567-46ff-8044-16dcf07a8669_1200x1200.jpg?v=1757590457,https://portaromana.com/products/julius_wall_light,2026-02-21T11:00:57.746914,2026-02-22T14:17:03.458082
MCL113,Lila Ceiling Light,Porta Romana,lighting,APPROVED,"The Lila ceiling light is inspired by lily pads and flowers, capturing the serene beauty of aquatic flora. Hand‑painted finishes introduce gentle texture. A tiny frog perches delicately on one of the leaves. Also available as a wall light.",Metal,Anne's Garden,7800.0,GBP,7 weeks,,http://portaromana.com/cdn/shop/files/MCL113-ANG-HERO_1200x1200.jpg?v=1757517269,http://portaromana.com/cdn/shop/files/MCL113-ANG-LIGHTS_1200x1200.jpg?v=1757517269,http://portaromana.com/cdn/shop/files/MCL113-ANG-PIC3_1200x1200.jpg?v=1757517269,https://portaromana.com/products/lila_ceiling_light,2026-02-21T11:01:01.113287,2026-02-22T14:16:45.856488
TWL172,Camelio Wall Light,Porta Romana,lighting,APPROVED,"The flowing lines of a seashell inspired the Camelio wall light’s elegant form. Hand-cast and finished with a coarse, stone-like painted finish — Burnt Stone — developed specifically for the piece, it casts a soft, upward glow that enhances intimate spaces. Also available in Sprottle or any painted finish of your choice.",Cast Composite,Burnt Stone,1098.0,GBP,6 weeks,,http://portaromana.com/cdn/shop/files/TWL172L-BRS-HERO_1200x1200.jpg?v=1753352464,http://portaromana.com/cdn/shop/files/TWL172L-BRS-LIGHTS_1200x1200.jpg?v=1753352464,http://portaromana.com/cdn/shop/files/TWL172L-BRS-HOVER_1200x1200.jpg?v=1753352464,https://portaromana.com/products/camelio_wall_light,2026-02-21T11:01:05.652211,2026-02-22T14:16:33.935382
MCL111,Helix Ceiling Light,Porta Romana,lighting,APPROVED,"The Helix sculptural ceiling light is both kinetic and calming. Shaped in steel by a skilled local metalsmith. Textured and hand‑decorated in a painted finish of your choice — the form casts soft, swirling shadows. A work of art suspended in space.",Metal,Plaster White,8430.0,GBP,7 week lead time,,http://portaromana.com/cdn/shop/files/MCL111-PLW-HERO_1200x1200.jpg?v=1753178532,http://portaromana.com/cdn/shop/files/MCL111-PLW-LIGHTS_1200x1200.jpg?v=1753178530,http://portaromana.com/cdn/shop/files/MCL111-PLW-PIC1_1200x1200.jpg?v=1753178530,https://portaromana.com/products/helix_ceiling_light,2026-02-21T11:01:09.623706,2026-02-22T14:16:13.568383
MCL114,Hecate Ceiling Light,Porta Romana,lighting,APPROVED,The Hecate ceiling light is a bold statement inspired by Greek mythology. A monolithic assembly of welded steel arms with offset angles creates a distinctive silhouette. Hand‑forged in Britain and decorated by hand in our painting studio.,Metal,Bronzed,9438.0,GBP,7 weeks,Britain,http://portaromana.com/cdn/shop/files/MCL114-BZD-HERO_1200x1200.jpg?v=1753178528,http://portaromana.com/cdn/shop/files/MCL114-BZD-LIGHTS_1200x1200.jpg?v=1753178527,http://portaromana.com/cdn/shop/files/MCL114-BZD-HOVER_1200x1200.jpg?v=1753178527,https://portaromana.com/products/hecate_ceiling_light,2026-02-21T11:01:14.018756,2026-02-22T14:15:16.808493
GLB100,Briar Lamp,Porta Romana,lighting,APPROVED,"The Briar is a handblown glass table lamp inspired by mid-century glassmaking and organic form. Crafted in collaboration with one of our British artisan glassblowers, each piece is unique with layered glass peaks. Available in Clear, Amber, Lemongrass or Denim.",Glass,Amber,2193.0,GBP,4 week lead time,United Kingdom,http://portaromana.com/cdn/shop/files/GLB100-AMB-HERO_1200x1200.jpg?v=1771534063,http://portaromana.com/cdn/shop/files/GLB100-AMB-LIGHTS_1200x1200.jpg?v=1771534063,http://portaromana.com/cdn/shop/files/GLB100-AMB-HOVER_1200x1200.jpg?v=1771534063,https://portaromana.com/products/briar_lamp,2026-02-21T11:01:17.832701,2026-02-22T14:15:00.071885
TWL173,Mollusc Wall Light,Porta Romana,lighting,APPROVED,"The Mollusc wall light features a gently undulating, hand‑cast form inspired by our Rupi family. A new Autumn Gold painted finish enriches the outer surface, paired with a Bright Gold interior to create a warm, uplifting glow.",Cast Composite,Autumn Gold,750.0,GBP,6 week lead time,,http://portaromana.com/cdn/shop/files/TWL173-HERO_1200x1200.jpg?v=1757516863,http://portaromana.com/cdn/shop/files/TWL173-LIGHTS_1200x1200.jpg?v=1757516999,http://portaromana.com/cdn/shop/files/TWL173-HOVER_1200x1200.jpg?v=1757516999,https://portaromana.com/products/mollusc-wall-light,2026-02-21T11:01:21.297835,2026-02-22T14:10:36.725836
VFL10,Cannella Floor Lamp,Porta Romana,lighting,APPROVED,"The Cannella is a refined, architectural floor lamp with a clean vertical silhouette. Fabricated in-house and hand-finished with a Bright Gold inner detailing to reflect a warm, soft glow.",Cast Composite,Light New Bronze and Bright Gold,3396.0,GBP,12 week lead time,,http://portaromana.com/cdn/shop/files/VFL10-LNB-BRG-HERO_1200x1200.jpg?v=1753178549,http://portaromana.com/cdn/shop/files/VFL10-LNB-BRG-LIGHTS_1200x1200.jpg?v=1753178542,http://portaromana.com/cdn/shop/files/VFL10-LNB-BRG-HOVER_1200x1200.jpg?v=1753178557,https://portaromana.com/products/cannella_floor_lamp,2026-02-21T11:01:26.815342,2026-02-22T14:10:22.311529
TWL161U,Connie Wall Light Uplight,Porta Romana,lighting,APPROVED,"The Connie wall light, shaped like a bell, and in the style of a campaign tent, is hand-cast and then textured and hand-painted. Available in two orientations. Also available as a pendant light and in any custom painted finish.",Cast Composite,Plaster White,1086.0,GBP,6 weeks,,http://portaromana.com/cdn/shop/files/TWL161-PLW-HERO_1200x1200.jpg?v=1708276358,http://portaromana.com/cdn/shop/files/TWL161-PLW-LIGHTS_1200x1200.jpg?v=1708276375,http://portaromana.com/cdn/shop/files/DG_NYC_Botanical_Studies_2_Photography_by_Michael_Clifford_LR_53568bbd-e8d4-49d2-9d7f-e8997e4b04c4_1200x1200.jpg?v=1732119873,https://portaromana.com/products/connie-wall-light-copy,2026-02-21T11:01:32.642724,2026-02-22T14:10:10.169326
